year,paper_id,relative_pdf_path,puc_public_pdf_url,source_pdf_url
1998,wer199801,"artigos/artigos_WER98/fiorini.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/fiorini.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/fiorini.pdf"
1998,wer199802,"artigos/artigos_WER98/leonardi.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/leonardi.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/leonardi.pdf"
1998,wer199803,"artigos/artigos_WER98/carpena.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/carpena.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/carpena.pdf"
1998,wer199804,"artigos/artigos_WER98/cysneiros.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/cysneiros.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/cysneiros.pdf"
1998,wer199805,"artigos/artigos_WER98/feltrim.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/feltrim.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/feltrim.pdf"
1998,wer199806,"artigos/artigos_WER98/canos.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/canos.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/canos.pdf"
1998,wer199807,"artigos/artigos_WER98/hartmann.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/hartmann.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/hartmann.pdf"
1998,wer199808,"artigos/artigos_WER98/zanlorenci.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/zanlorenci.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/zanlorenci.pdf"
1998,wer199809,"artigos/artigos_WER98/breitman.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/breitman.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/breitman.pdf"
1998,wer199810,"artigos/artigos_WER98/doorn.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/doorn.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/doorn.pdf"
1998,wer199811,"artigos/artigos_WER98/caldas_junior.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/caldas_junior.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/caldas_junior.pdf"
1998,wer199812,"artigos/artigos_WER98/rivero.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/rivero.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/rivero.pdf"
1998,wer199813,"artigos/artigos_WER98/fresno.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/fresno.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/fresno.pdf"
1998,wer199814,"artigos/artigos_WER98/alencar.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER98/alencar.pdf","https://werpapers.dimap.ufrn.br/papers/WER1998/alencar.pdf"
1999,wer199901,"artigos/artigos_WER99/alencar.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER99/alencar.pdf","https://werpapers.dimap.ufrn.br/papers/WER1999/alencar.pdf"
1999,wer199902,"artigos/artigos_WER99/hadad.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER99/hadad.pdf","https://werpapers.dimap.ufrn.br/papers/WER1999/hadad.pdf"
1999,wer199903,"artigos/artigos_WER99/guizzardi.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER99/guizzardi.pdf","https://werpapers.dimap.ufrn.br/papers/WER1999/guizzardi.pdf"
1999,wer199904,"artigos/artigos_WER99/toro.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER99/toro.pdf","https://werpapers.dimap.ufrn.br/papers/WER1999/toro.pdf"
1999,wer199905,"artigos/artigos_WER99/martins.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER99/martins.pdf","https://werpapers.dimap.ufrn.br/papers/WER1999/martins.pdf"
1999,wer199906,"artigos/artigos_WER99/marmani.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER99/marmani.pdf","https://werpapers.dimap.ufrn.br/papers/WER1999/marmani.pdf"
1999,wer199907,"artigos/artigos_WER99/roseti.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER99/roseti.pdf","https://werpapers.dimap.ufrn.br/papers/WER1999/roseti.pdf"
1999,wer199908,"artigos/artigos_WER99/souza.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER99/souza.pdf","https://werpapers.dimap.ufrn.br/papers/WER1999/souza.pdf"
1999,wer199909,"artigos/artigos_WER99/trclib.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER99/trclib.pdf","https://werpapers.dimap.ufrn.br/papers/WER1999/trclib.pdf"
2000,wer200001,"artigos/artigos_WER00/pinheiro.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/pinheiro.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/pinheiro.pdf"
2000,wer200002,"artigos/artigos_WER00/sabat_neto.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/sabat_neto.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/sabat_neto.pdf"
2000,wer200003,"artigos/artigos_WER00/diaz.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/diaz.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/diaz.pdf"
2000,wer200004,"artigos/artigos_WER00/ridao.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/ridao.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/ridao.pdf"
2000,wer200005,"artigos/artigos_WER00/santander.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/santander.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/santander.pdf"
2000,wer200006,"artigos/artigos_WER00/zanlorenci.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/zanlorenci.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/zanlorenci.pdf"
2000,wer200007,"artigos/artigos_WER00/alves.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/alves.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/alves.pdf"
